Harry Potter à l'école des sorciers;2001;Fantastique;Chris Colombus
21 Jump Street;2012;Comédie;Phil Lord
Scream;1996;Horreur;Wes Craven
Crush;2022;Romance,Comédie Dramatique,Drame,Comédie;Sammi Cohen
Ecrire pour exister;2007;Drame;Richard LaGravenese
Parasite;2019;Thriller;Bong Joon Ho
Django Unchained;2012;Western;Quentin Tarantino
Rien à foutre;2021;Drame,Comédie;Emmanuel Marre,Julie Lecoustre
Paprika;2006;Animation,Science-fiction;Satoshi Kon
Le Vilain;2009;Comédie;Albert Dupontel
Kung Fury;2015;Comédie;David Sandberg
Pokémon : Le Retour de Mewtwo;2000;Action;Kunihiko Yuyama
Starship Troopers;1997;Science-fiction,Militaire;Paul Verhoeven 
Forest Gump;1994;Comédie dramatique,Comédie,Drame;Robert Zemeckis
Le crime de l'orient express;2017;Policier;Keneth Branagh
La plage;2000;Drame;Danny Boyle
Shutter island;2010;Drame Psychologique;Martin Scorsese
Dragonball Evolution;2009;Action,Fantasy;James Wong
Wasabi;2001;Action,Comédie;Gérard Krawczyk
Your Name;2016;Romance,Cinéma de fantasy;Makoto Shinkai
OSS 117 : Alerte rouge en Afrique noire;2021;Comédie,Action;Nicolas Bedos
Charlie et la chocolaterie;2005;Fantaisie;Tim Burton
Spider-Man;2002;Action,Super-héros;Sam Raimi
The Shining;1980;Horreur,Thriller;Stanley Kubrick
Evil Dead 3 : l'armée des ténèbres;1993;Comédie,Horreur;Sam Raimi
Dark City;1998;Science-fiction;Alex Proyas
Before i fall;2017;Drame;Ry Russo-Young
Divergent;2014;Dystopie,Sci-fi,Action;Neil Burger
The Hunger Games;2012;Dystopie,Sci-fi,Action;Gary Ross